sequence_id,xgb1_probability,xgb2_probability,xgb1_prediction,xgb2_prediction,final_prediction,final_confidence
ECK120016583 BAMAP2 FORWARD 197026 SIGMA24 STRONG,0.68892664,0.9632076,1,1,1,0.9632076
ECK120016567 BAMBP REVERSE 2638975 SIGMA24 STRONG,0.5080505,0.23383433,1,0,1,0.5080505
ECK120016572 BAMDP2 FORWARD 2735961 SIGMA24 STRONG,0.2570125,0.72195685,0,1,1,0.72195685
ECK120016566 BEPAP1 FORWARD 2616068 SIGMA24 STRONG,0.42503163,0.55241627,0,1,1,0.55241627
ECK125135037 BHSAP FORWARD 1169033 SIGMA24 STRONG,0.96980315,0.7667512,1,1,1,0.96980315
ECK120034942 CYARP FORWARD 2167114 SIGMA24 STRONG,0.99039626,0.9320162,1,1,1,0.99039626
ECK120010283 DEGPP FORWARD 180845 SIGMA24 STRONG,0.7311127,0.9765875,1,1,1,0.9765875
ECK120016573 DSBCP2 REVERSE 3039633 SIGMA24 STRONG,0.6975572,0.3686712,1,0,1,0.6975572
ECK120016711 ESSDP FORWARD 576873 SIGMA24 STRONG,0.45651135,0.81266624,0,1,1,0.81266624
ECK120010508 FKPAP1 REVERSE 3477525 SIGMA24 STRONG,0.27526242,0.6788521,0,1,1,0.6788521
ECK120016720 FTNBP FORWARD 1986775 SIGMA24 STRONG,0.53792495,0.9309097,1,1,1,0.9309097
ECK120016577 GREAP2 REVERSE 3328853 SIGMA24 STRONG,0.98103595,0.9829655,1,1,1,0.9829655
ECK120016717 GSPAP4 REVERSE 3455634 SIGMA24 STRONG,0.99743026,0.9778485,1,1,1,0.99743026
ECK120033255 HCPP2 REVERSE 914129 SIGMA24 STRONG,0.71124893,0.44459915,1,0,1,0.71124893
ECK120016715 LHRP FORWARD 1728353 SIGMA24 STRONG,0.4527658,0.78519505,0,1,1,0.78519505
ECK120009997 LPXDP FORWARD 200960 SIGMA24 STRONG,0.12530372,0.8993941,0,1,1,0.8993941
ECK125165944 MICLP REVERSE 1958747 SIGMA24 STRONG,0.28770068,0.731338,0,1,1,0.731338
ECK120016713 NARWP REVERSE 1538687 SIGMA24 STRONG,0.6966808,0.96585244,1,1,1,0.96585244
ECK120016710 PLSBP REVERSE 4256598 SIGMA24 STRONG,0.78545976,0.8247286,1,1,1,0.8247286
ECK120016716 RNLBP FORWARD 2766707 SIGMA24 STRONG,0.97759354,0.8047134,1,1,1,0.97759354
ECK120033261 RPODP4 FORWARD 3212693 SIGMA24 STRONG,0.6822301,0.9777641,1,1,1,0.9777641
